min_score,depth,cash,accuracy,return
0,3,2678.6924,0.516913,1.0586884539629304
0.2,3,8024.323,0.51611173,2.2507155320800054
0.4,3,7025.7627,0.51711094,2.105584572081076
0.6,3,4457.89,0.5152826,1.6103441641301286
0.8,3,6077.926,0.51476884,1.947554190848022
1,3,2762.0347,0.51237154,1.0917874929282645
1.2,3,1818.8943,0.51111114,0.6414379377442492
1.4,3,1169.142,0.5114046,0.16716173087609754
1.6,3,1127.8455,0.5078701,0.128669630801026
1.8,3,1968.3727,0.5086187,0.7264276754091137
2,3,1912.7231,0.5107932,0.6955572937332288
2.2,3,2669.4011,0.5178098,1.0549355295377705
2.4,3,3535.233,0.518748,1.3588128665781518
2.6,3,5221.5986,0.5237922,1.782218872427932
2.8,3,5669.2803,0.52981466,1.8717434259589938
3,3,8571.512,0.54192686,2.3228334084156144
3.2,3,7840.739,0.5444054,2.225425208984899
3.4,3,6525.6035,0.55051076,2.025022844756763
3.6,3,5406.2495,0.5493507,1.8200309459656783
3.8,3,6045.453,0.55349183,1.9417172172212727
4,3,4694.6387,0.55831903,1.666556196491653
4.2,3,3905.3372,0.5675127,1.4667316929322993
4.4,3,3478.545,0.56537104,1.3413022808374198
4.6,3,4987.4106,0.57020056,1.732313096634086
4.8,3,3952.4417,0.5684931,1.4797348079752748
5,3,3667.517,0.5708419,1.3986174753127578
5.2,3,3004.8533,0.581864,1.1828704080784291
5.4,3,2246.861,0.5696595,0.8689875449157336
5.6,3,2071.8472,0.5895522,0.7815990480786406
5.8,3,2283.3901,0.62211984,0.8863755118636796
6,3,2903.226,0.625,1.145668793218646
6.2,3,1988.7798,0.61417323,0.7375321496863041
6.4,3,2205.9014,0.63106793,0.8491548007669492
6.6,3,1819.8866,0.5822785,0.6420246127188722
6.8,3,2076.5645,0.57377046,0.7840488173110449
7,3,2032.8568,0.60784316,0.7611367806604097
7.2,3,1822.9083,0.6363636,0.6438091770706755
7.4,3,1888.2208,0.71428573,0.6816823794389304
7.6,3,1704.9729,0.6785714,0.5718887592530697
7.8,3,1505.8364,0.6666667,0.438471923255479
8,3,1415.1307,0.6315789,0.37180174751494377
8.2,3,1350.2346,0.5714286,0.3214543648486057
8.4,3,1348.7999,0.53846157,0.32031445653708523
8.6,3,1300.4264,0.45454547,0.2811610693656874
8.8,3,1390.5833,0.5555556,0.3530313279568542
9,3,1411.7567,0.625,0.36924095647670185
9.2,3,1447.7974,0.71428573,0.39628705442669165
9.4,3,1452.2507,0.8333333,0.39958267187762964
9.6,3,1398.4381,0.8,0.35907303154183445
9.8,3,1398.4381,0.8,0.35907303154183445
0,4,9105.764,0.5155889,1.7864366530583542
0.2,4,2093.379,0.5140716,0.5939650038121025
0.4,4,104882.19,0.51547533,3.800156885503614
0.6,4,51436.086,0.51341194,3.209001973516523
0.8,4,84975.85,0.5160063,3.6251792488174006
1,4,28711.762,0.51543677,2.7277685393146456
1.2,4,32648.633,0.51491785,2.8336356405484375
1.4,4,23005.041,0.51373625,2.545455121584417
1.6,4,16158.687,0.51180005,2.2554870630999035
1.8,4,8045.014,0.51001734,1.6854305817313842
2,4,9746.652,0.51089287,1.8419478656743316
2.2,4,3979.9097,0.5076328,1.113374127330724
2.4,4,6788.3745,0.5131917,1.5470850392685254
2.6,4,9637.132,0.52026844,1.8327230441324893
2.8,4,16948.584,0.5255814,2.2946151764536404
3,4,12475.136,0.53127223,2.0436381600384523
3.2,4,15787.607,0.54153097,2.236445562514744
3.4,4,14702.003,0.5437209,2.178077595276595
3.6,4,10355.855,0.5452099,1.8914548601237424
3.8,4,7817.5024,0.5484678,1.6620497635980946
4,4,9464.273,0.5533286,1.8179495809119706
4.2,4,8854.972,0.5581967,1.7636516800390467
4.4,4,7169.829,0.55715656,1.5915966730395859
4.6,4,5359.8765,0.5585893,1.3549416825961114
4.8,4,5849.3154,0.5645161,1.425962709980455
5,4,5967.987,0.5652174,1.44229382415062
5.2,4,5207.837,0.5626168,1.3315646275012138
5.4,4,4719.008,0.5894495,1.25153332900112
5.6,4,2710.354,0.5698324,0.8024645528574625
5.8,4,2885.9482,0.5819398,0.8532011746549717
6,4,2527.2075,0.60474306,0.7459467372661788
6.2,4,2949.0186,0.6059113,0.8706803230283278
6.4,4,3767.0076,0.6583851,1.0688225843331622
6.6,4,2736.3633,0.6302521,0.8101820054315256
6.8,4,2498.7017,0.63461536,0.7367861896319328
7,4,2250.8486,0.6455696,0.6524658903023006
7.2,4,2907.0417,0.671875,0.8590887938780378
7.4,4,2311.7327,0.65384614,0.674002577363364
7.6,4,2137.2727,0.65909094,0.6106993588435472
7.8,4,2196.445,0.7222222,0.6327269205870456
8,4,2124.323,0.7741935,0.6057980500533411
8.2,4,1897.0715,0.7826087,0.514595186598088
8.4,4,1743.088,0.75,0.4464109010122952
8.6,4,1633.1583,0.75,0.3939730497870997
8.8,4,1585.6195,0.6923077,0.3702027518448947
9,4,1538.5153,0.6666667,0.3459419596082869
9.2,4,1556.3864,0.72727275,0.35523201858862485
9.4,4,1541.2593,0.7777778,0.3473753371380006
9.6,4,1542.697,0.85714287,0.34812535309713954
9.8,4,1542.697,0.85714287,0.34812535309713954
0,5,5870.699,0.51536167,1.1415194744915036
0.2,5,6832.477,0.515291,1.2399692021914932
0.4,5,8149.4756,0.51611215,1.3544720278006128
0.6,5,6164.052,0.51596546,1.173150668341405
0.8,5,228380.13,0.517192,3.5441731695106338
1,5,157688.89,0.5181851,3.298523807201237
1.2,5,185563.36,0.5186618,3.4064062658368366
1.4,5,184691.33,0.51850694,3.403282686076059
1.6,5,176471.56,0.5165518,3.373098346651404
1.8,5,138018.89,0.5176587,3.210302923390662
2,5,131031.99,0.5177871,3.1759251451687787
2.2,5,50849.227,0.516958,2.5515205364457616
2.4,5,40377.5,0.5210918,2.399984784710796
2.6,5,15487.332,0.52002215,1.7726569161311545
2.8,5,4970.3906,0.5199415,1.0336007163077587
3,5,20704.043,0.5262287,1.9623020771208477
3.2,5,14712.639,0.52606124,1.7391713471214931
3.4,5,4816.1597,0.5261367,1.0131796110197877
3.6,5,6259.4053,0.52817404,1.1831108866097173
3.8,5,7465.586,0.53578734,1.2975185119934007
4,5,4531.468,0.5366084,0.9737174680033656
4.2,5,3912.7778,0.5373884,0.8787063341945345
4.4,5,2334.6814,0.54080313,0.5452086158243441
4.6,5,3700.0579,0.54307693,0.8425507012938871
4.8,5,5963.411,0.55985266,1.151682886691785
5,5,6576.903,0.56790125,1.2152212488240943
5.2,5,4164.2236,0.56345886,0.9190058889346542
5.4,5,4118.353,0.56239015,0.9118376839420739
5.6,5,6178.3457,0.5855856,1.1746534666964736
5.8,5,4712.8555,0.5828729,0.9991348533620714
6,5,4550.7793,0.61245674,0.976471174021798
6.2,5,5172.7837,0.6171171,1.0594637954434827
6.4,5,4570.3345,0.64,0.9792478174085906
6.6,5,3894.0461,0.6466165,0.8756019486997779
6.8,5,2905.2861,0.6086956,0.6862925690307442
7,5,2771.3748,0.64285713,0.6558284115857571
7.2,5,2452.1602,0.6545454,0.5768683082332915
7.4,5,2328.7046,0.6818182,0.5435558728530854
7.6,5,2312.993,0.74285716,0.5391910018607282
7.8,5,2293.3313,0.8214286,0.5336871037685542
8,5,2061.7485,0.8181818,0.46508099856406027
8.2,5,1822.5236,0.7647059,0.3856537130718207
8.4,5,1672.0111,0.75,0.33018055378446487
8.6,5,1622.3406,0.72727275,0.31077925542715157
8.8,5,1517.313,0.75,0.26773476483572534
9,5,1517.313,0.75,0.26773476483572534
9.2,5,1505.2937,0.8333333,0.26262113936414977
9.4,5,1420.6476,0.8,0.22541620592291256
9.6,5,1420.6476,0.8,0.22541620592291256
9.8,5,1420.6476,0.8,0.22541620592291256
0,6,9876.086,0.51584774,1.2313626352828067
0.2,6,11059.533,0.5164797,1.292607676610058
0.4,6,10822.255,0.5172966,1.280868353909037
0.6,6,6581.256,0.51667684,1.0120208224795313
0.8,6,9509.3545,0.51734966,1.2108937755734184
1,6,13055.614,0.51855934,1.3824645985919037
1.2,6,223374.19,0.5180497,2.9326804944949547
1.4,6,177526.03,0.51861626,2.8063888357746647
1.6,6,188730.53,0.51830363,2.8400192264614654
1.8,6,302810.47,0.5165351,3.1001816004999405
2,6,262859.88,0.5176012,3.022256583502969
2.2,6,674654.06,0.51903707,3.54250558239253
2.4,6,412855.8,0.518225,3.271118932032935
2.6,6,285644.75,0.520515,3.0680330276664947
2.8,6,140965.53,0.5185865,2.6797743167385812
3,6,323129.8,0.5201126,3.1359716566658813
3.2,6,377272.34,0.5206995,3.22138908938292
3.4,6,150618.08,0.51946545,2.716123736128351
3.6,6,68683.73,0.5195106,2.2859978419688343
3.8,6,75264.31,0.52156866,2.3360222744961856
4,6,51140.492,0.52143395,2.1249074985679517
4.2,6,50237.39,0.52715915,2.115184190449626
4.4,6,23505.809,0.5290475,1.701554131222216
4.6,6,5607.9106,0.5294872,0.9256625235047222
4.8,6,4282.7974,0.5335886,0.7803739302037815
5,6,4195.2046,0.535997,0.7692453339289917
5.2,6,4147.652,0.53861874,0.7631066059824887
5.4,6,6220.2383,0.5443656,0.9815707287638364
5.6,6,8159.587,0.5488974,1.1281294407621045
5.8,6,3435.0884,0.54416406,0.6616543570069133
6,6,2916.5215,0.5460299,0.5736587330387177
6.2,6,3522.573,0.55471224,0.6751838878384708
